text,label
"Bugün çok güzel geçti, çok mutluyum.",joy
"Sınavdan yüksek not aldım, harikaydı.",joy
"Yeni kitaplar aldım, çok heyecanlıyım.",joy
"Arkadaşlarımla pikniğe gittik, çok eğlendim.",joy
"Yüzme yarışını kazandım, gururluyum.",joy
"Müzik dinlemek bana huzur veriyor.",joy
"Doğum günüme herkes geldi, çok sevindim.",joy
"Hava güneşliydi, dışarıda oyun oynadık.",joy
"Resim dersinde öğretmenim beni tebrik etti.",joy
"Projeyi başarıyla tamamladık, mutluyum.",joy

"Her şey üst üste geliyor, moralim bozuk.",sadness
"Sınavdan düşük not aldım, ağlamak istiyorum.",sadness
"Kimse beni anlamıyor, yalnız hissediyorum.",sadness
"Bugün hiç keyfim yok.",sadness
"Arkadaşım benimle konuşmuyor, üzgünüm.",sadness
"Kaybettim, çok kötü hissediyorum.",sadness
"Bugün çok sessizdim, canım konuşmak istemedi.",sadness
"Beni kimse fark etmiyor gibi hissediyorum.",sadness
"Başarısız oldum, denemek bile istemiyorum.",sadness
"Kendimi eksik hissediyorum.",sadness

"Bu sınav beni gerçekten korkutuyor.",fear
"Kalabalıklar beni tedirgin ediyor.",fear
"Yarınki sunum çok stresli.",fear
"Dersin başında çok panikledim.",fear
"Öğretmen beni çağıracak diye ödüm koptu.",fear
"Böyle giderse başarısız olurum diye korkuyorum.",fear
"Karanlıkta yürümekten korkuyorum.",fear
"Soru sormaktan çekiniyorum.",fear
"Yanlış yaparsam herkes güler diye korkuyorum.",fear
"Bugün sınav vardı, çok endişelendim.",fear

"Defalarca söyledim ama kimse dinlemiyor!",anger
"Sürekli hata alıyorum, çok sinir bozucu.",anger
"Bugün yine kardeşimle kavga ettik.",anger
"Bu adaletsizlik beni deli ediyor!",anger
"Bağırmak istiyorum, çok sinirliyim.",anger
"Kimse görevini yapmıyor, bıktım!",anger
"Öğretmen haksızlık yaptı, kızgınım.",anger
"Kurallara uymayanlara tahammül edemiyorum.",anger
"Yavaş çalışan bilgisayardan nefret ediyorum.",anger
"Arkadaşım sözünü tutmadı, sinirlendim.",anger

"Bana sürpriz parti yapmışlar!",surprise
"Annem bana hiç beklemediğim bir hediye aldı.",surprise
"Sınavdan 100 alınca şaşırdım.",surprise
"Öğretmenim ödevimi sınıfta okuttu, şok oldum.",surprise
"Yeni telefonu görünce çok şaşırdım.",surprise
"Yarışmayı kazandığımı öğrendim, beklemiyordum.",surprise
"Arkadaşımın sesi ne kadar değişmiş!",surprise
"Dünya haritası meğer bu kadar büyükmüş!",surprise
"Projeyi zamanında bitirmişiz, farkında bile değildik!",surprise
"Bugün hava durumu yanıldı, kar yağdı!",surprise
