text,label
bugün güzel geçti mutluyum,joy
sınavdan yüksek not aldım harikaydı,joy
yeni kitaplar aldım heyecanlıyım,joy
arkadaşlarımla pikniğe gittik eğlendim,joy
yüzme yarışını kazandım gururluyum,joy
müzik dinlemek bana huzur veriyor,joy
doğum günüme herkes geldi sevindim,joy
hava güneşliydi dışarıda oyun oynadık,joy
resim dersinde öğretmenim beni tebrik etti,joy
projeyi başarıyla tamamladık mutluyum,joy
üst üste geliyor moralim bozuk,sadness
sınavdan düşük not aldım ağlamak istiyorum,sadness
kimse beni anlamıyor yalnız hissediyorum,sadness
bugün keyfim yok,sadness
arkadaşım benimle konuşmuyor üzgünüm,sadness
kaybettim kötü hissediyorum,sadness
bugün sessizdim canım konuşmak istemedi,sadness
beni kimse fark etmiyor hissediyorum,sadness
başarısız oldum denemek bile istemiyorum,sadness
kendimi eksik hissediyorum,sadness
sınav beni gerçekten korkutuyor,fear
kalabalıklar beni tedirgin ediyor,fear
yarınki sunum stresli,fear
dersin başında panikledim,fear
öğretmen beni çağıracak ödüm koptu,fear
böyle giderse başarısız olurum korkuyorum,fear
karanlıkta yürümekten korkuyorum,fear
soru sormaktan çekiniyorum,fear
yanlış yaparsam herkes güler korkuyorum,fear
bugün sınav vardı endişelendim,fear
defalarca söyledim kimse dinlemiyor,anger
sürekli hata alıyorum sinir bozucu,anger
bugün yine kardeşimle kavga ettik,anger
adaletsizlik beni deli ediyor,anger
bağırmak istiyorum sinirliyim,anger
kimse görevini yapmıyor bıktım,anger
öğretmen haksızlık yaptı kızgınım,anger
kurallara uymayanlara tahammül edemiyorum,anger
yavaş çalışan bilgisayardan nefret ediyorum,anger
arkadaşım sözünü tutmadı sinirlendim,anger
bana sürpriz parti yapmışlar,surprise
annem bana beklemediğim bir hediye aldı,surprise
sınavdan alınca şaşırdım,surprise
öğretmenim ödevimi sınıfta okuttu şok oldum,surprise
yeni telefonu görünce şaşırdım,surprise
yarışmayı kazandığımı öğrendim beklemiyordum,surprise
arkadaşımın sesi kadar değişmiş,surprise
dünya haritası meğer kadar büyükmüş,surprise
projeyi zamanında bitirmişiz farkında bile değildik,surprise
bugün hava durumu yanıldı kar yağdı,surprise
